standardized,sample-prefix,sample-id,species,sex,latitude,longitude,year,month
1,aht,1975,americanus,,32.77356389,-85.53325,,
1,aht,2456,terrestris,,32.194943,-89.236288,,
1,aht,2533,terrestris,,31.556099,-84.026712,,
1,aht,2534,terrestris,,31.556099,-84.026712,,
1,aht,2535,terrestris,,31.556099,-84.026712,,
1,aht,2536,terrestris,,31.556099,-84.026712,,
1,aht,2544,quercicus,,30.99523,-86.23332,,
1,aht,2545,terrestris,,31.00819,-86.20567,,
1,aht,2564,terrestris,,31.55752,-84.04267,,
1,aht,2885,terrestris,,32.450895,-86.15934,,
1,aht,3413,fowleri,,33.3694,-88.12941,,
1,aht,3419,terrestris,,33.6729,-88.16068,,
1,aht,3420,terrestris,,33.6542,-88.1558,,
1,aht,3421,terrestris,,33.6542,-88.1558,,
1,aht,3428,terrestris,,31.12679,-86.54755,,
1,aht,3459,americanus,,34.88028,-87.71849,,
1,aht,3460,americanus,,33.78013,-85.58421,,
1,aht,3461,americanus,,34.88779,-87.74103,,
1,aht,3462,americanus,,33.77001,-85.55434,,
1,aht,3463,americanus,,33.71125,-85.59762,,
1,aht,3658,fowleri,,,,,
1,aht,3665,fowleri,,,,,
1,aht,3813,terrestris,,31.13854,-86.53906,,
1,aht,3833,terrestris,,,,,
1,aht,3853,terrestris,,31.00809,-85.03886,,
1,aht,3997,fowleri,,32.556071,-88.299749,,
1,aht,3998,fowleri,,32.556071,-88.299749,,
1,aht,4373,americanus,,38.9491342,-95.3981792,,
1,aht,4441,terrestris,,31.115951,-85.0793,,
1,aht,5276,,,,,,
1,aht,5277,,,,,,
1,aht,5278,,,,,,
1,hera,10025,fowleri,,37.11150607,-84.11811984,,
1,hera,10233,americanus,,39.86452751,-85.01036538,,
1,hera,10239,americanus,,38.99151321,-92.31077915,,
1,hera,10248,americanus,,41.27318745,-73.38973589,,
1,hera,10255,americanus,,37.11150607,-84.11811984,,
1,hera,10350,americanus,,45.51395705,-69.95928163,,
1,hera,10372,americanus,,42.22794785,-79.36759006,,
1,hera,10396,fowleri,,41.80663095,-72.73281062,,
1,hera,10484,quercicus,,25.61296337,-80.56605548,,
1,hera,10493,fowleri,,39.08588343,-75.56843744,,
1,hera,11976,americanus,,43.51819011,-71.42336011,,
1,hera,13722,fowleri,,36.55513857,-89.18928557,,
0,hera,14196,retiformis,,33.34905562,-112.4900993,,
1,hera,14926,microscaphus,,33.73033021,-113.9807786,,
1,hera,15787,americanus,,38.88546227,-95.29398718,,
1,hera,20415,americanus,,34.31742717,-92.9460215,,
1,hera,20514,americanus,,33.95139527,-83.36714651,,
1,inhs,16273,americanus,,42.30245,-89.5595,,
1,inhs,17016,americanus,,37.46121,-88.18728,,
1,inhs,19127,fowleri,,41.58247,-88.07273,,
1,inhs,21799,americanus,,46.0125825,-94.26710338,,
1,kac,16,terrestris,?,30.548191,-86.930668,2018,5
1,kac,38,terrestris,f,32.814696,-86.939677,2018,5
1,kac,39,terrestris,m,32.810938,-86.989673,2018,5
1,kac,40,terrestris,f,32.809854,-86.997946,2018,5
1,kac,41,terrestris,j,32.823002,-86.993435,2018,5
1,kac,42,terrestris,f,32.824061,-86.993138,2018,5
1,kac,43,terrestris,j,32.824061,-86.993138,2018,5
1,kac,44,terrestris,m,32.804496,-87.030779,2018,5
1,kac,45,terrestris,f,32.767027,-87.070731,2018,5
1,kac,46,terrestris,f,32.765918,-87.071843,2018,5
1,kac,47,terrestris,f,32.78932,-86.908503,2018,5
1,kac,48,terrestris,m,32.735748,-86.881494,2018,5
1,kac,49,terrestris,f,32.732909,-86.877073,2018,5
1,kac,50,terrestris,f,32.748216,-86.798059,2018,5
1,kac,51,terrestris,m,32.787421,-86.758471,2018,5
1,kac,52,terrestris,j,32.780439,-86.73877,2018,5
1,kac,53,terrestris,j,32.780439,-86.73877,2018,5
