method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,seed
ecoevolity,0,0.012310541729152613,0.005494803899236389,0.9999407958206864,2475.470114940795,0.95,0.0037018192718834006,0.0068324307124862475,False,0.0038410865238062883,0.0069271980022063894,False,seed170
starbeast,0,0.012310541729152613,0.006919766133947989,1.0001374524501687,602.4054974508633,0.95,0.0064470776254296,0.007384111222812123,False,0.006445969573449432,0.007381568692158123,False,seed170
ecoevolity,0,0.028622430413951405,0.018772886107334213,1.0002721653733342,3539.9801300978324,0.95,0.01661992297597211,0.020260014133401685,False,0.016909700277562438,0.020409082654123542,False,seed48
starbeast,0,0.028622430413951405,0.020011402518381183,1.0000560820322155,642.9990042124984,0.95,0.01916900626477393,0.020805321570865426,False,0.019230052945773592,0.02085795960541609,False,seed48
ecoevolity,0,0.01530796679762222,0.008215365187272271,0.9997203093456084,2939.9037647891405,0.95,0.006226975461784099,0.00958676988353388,False,0.006447502604530179,0.009675443978965591,False,seed188
starbeast,0,0.01530796679762222,0.009616717491483741,1.0127100594295415,437.9257038779612,0.95,0.00905206552420044,0.010172031660576543,False,0.009070640805798108,0.010187267459981532,False,seed188
ecoevolity,0,0.0774857900053076,0.05890938621505665,1.00022067914103,3142.672771691723,0.95,0.0565189759309433,0.06082406860708393,False,0.056688994598322814,0.06094657180124016,False,seed194
starbeast,0,0.0774857900053076,0.05995787220765249,1.0004181871511235,504.0302815572162,0.95,0.05845126402151209,0.0613829772878083,False,0.05850193134327509,0.0614153910814976,False,seed194
ecoevolity,0,0.0012316008755467768,0.00043074002979548296,0.9998458823361659,3607.2249498775786,0.95,0.0003375780746971631,0.0005276353332178968,False,0.0003420622388418865,0.0005306855537695737,False,seed193
starbeast,0,0.0012316008755467768,0.00033288954197714324,1.6655743844007134,88.30148927610719,0.95,7.652910962778611e-10,0.0005408983722314295,False,3.445405802884805e-10,0.0005251560052371412,False,seed193
ecoevolity,0,0.20591719453087534,0.1654577932938486,1.0008327270430628,4000.0,0.95,0.16223255426652633,0.16849953663919967,False,0.1624792114754457,0.16863143353378976,False,seed37
starbeast,0,0.20591719453087534,0.16612733374111596,1.003773689215751,770.6879478934065,0.95,0.16331875736650156,0.16891678598776666,False,0.16325073801473589,0.1688346417671082,False,seed37
ecoevolity,0,0.003190207086875113,0.0007803932308466317,1.000014582195435,3381.3905103549537,0.95,0.0004893815156415037,0.00110366504088902,False,0.00047812567956536067,0.0010844586006188686,False,seed35
starbeast,0,0.003190207086875113,0.001129784875075924,1.0058852268393412,492.44253388304236,0.95,0.0009452954454794508,0.0013182291926948555,False,0.0009450969460266649,0.0013178523962245215,False,seed35
ecoevolity,0,0.022972452187128657,0.013974522626789871,0.9999454697815692,3156.1751871573133,0.95,0.0118423245435231,0.01544825143725495,False,0.012182579425352578,0.01566208166228455,False,seed166
starbeast,0,0.022972452187128657,0.015310754661986125,1.011525309194605,606.0080661059637,0.95,0.01455357543010186,0.016009136001124913,False,0.014567317143106738,0.01601589143668604,False,seed166
ecoevolity,0,0.002102265128993296,0.0007607464627180974,1.0004332982029365,4000.0,0.95,0.0005690400519990067,0.0009587269704554539,False,0.0005687944450986961,0.0009552581914252913,False,seed60
starbeast,0,0.002102265128993296,0.0008780979554780001,1.0066609273751137,281.6472589683885,0.95,0.000722659692189186,0.0010320367788148644,False,0.0007280370098338838,0.001035068055507799,False,seed60
ecoevolity,0,0.10765103730226427,0.08635522097039021,0.9999364230396957,4000.0,0.95,0.08388767771567411,0.08851457297559147,False,0.08392158525554087,0.08854551931236895,False,seed147
starbeast,0,0.10765103730226427,0.08716700997310681,0.9998709042346516,834.274774544139,0.95,0.08539535240151537,0.08891109075971773,False,0.08534975167509118,0.0888545928086716,False,seed147
ecoevolity,0,0.09156945084731936,0.07172250584814828,0.9997051913005228,4000.0,0.95,0.06928265651137422,0.07375043910295298,False,0.06956643359111236,0.0739475339310897,False,seed177
starbeast,0,0.09156945084731936,0.07252971908262508,1.003273128645207,746.5501950654219,0.95,0.07090072252203343,0.07411441101626577,False,0.07099941760178985,0.07418939272994376,False,seed177
ecoevolity,0,0.018927453824801533,0.011310839360916428,1.0005495046518793,2673.6600716117305,0.95,0.009239838054560329,0.012748191857993516,False,0.009550957860210964,0.012949014903639743,False,seed120
starbeast,0,0.018927453824801533,0.012678104427736566,1.0001471542840648,584.0445452579631,0.95,0.01204208257583656,0.01329967898451864,False,0.012044742042255193,0.013299720256651855,False,seed120
