method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,taxon,seed
ecoevolity,0,0.0003696769300349593,0.00217044309945419,1.0002843071982803,2452.7281470501484,0.95,0.0006904473736125418,0.0043933274441210176,False,0.0005253438434439716,0.00405829593305074,False,root,seed170
ecoevolity,0,0.0019061342849283527,0.004984202782606173,0.9996923109475304,4000.0,0.95,0.004722218937259443,0.005246455475523484,False,0.0047240460887370715,0.005246455475523484,False,T1,seed170
ecoevolity,0,0.001895521102780966,0.0045977887181916895,0.9997026827801512,4000.0,0.95,0.0043518739599508775,0.004849808291876275,False,0.0043572989938067755,0.004853328013638837,False,T2,seed170
starbeast,0,0.0003696769300349593,0.0009970033742787458,1.0008988912104813,212.9331547486749,0.95,0.0004182545859547486,0.0017307646851872484,False,0.0003725558222587893,0.0016623097426678786,False,root,seed170
starbeast,0,0.0019061342849283527,0.0047644527830602345,1.0001327903036719,2696.2415267025212,0.95,0.00420717689336365,0.005388712308847354,False,0.0041737923040439774,0.00534463084121799,False,T1,seed170
starbeast,0,0.001895521102780966,0.004341082294465118,1.0017373017395672,2516.658845262527,0.95,0.003848768535175425,0.0049026760323749845,False,0.0038267299761401492,0.0048773130827402325,False,T2,seed170
ecoevolity,0,0.0019260892294847773,0.002036650807253976,0.9999618395535848,3867.762397436565,0.95,0.0006604136048694999,0.004131218754908581,True,0.0005170045140110449,0.0038016594806078345,True,root,seed48
ecoevolity,0,0.002541179545199557,0.005546289501567366,1.0006117166786583,3398.734983881777,0.95,0.005306571824213457,0.005799151996489816,False,0.005289404751608255,0.005774956935521282,False,T1,seed48
ecoevolity,0,0.0018052851491239593,0.0033177367741242963,1.0006656034574066,2940.6075373196745,0.95,0.0031327694362519327,0.0035079611804941877,False,0.0031247370370392326,0.00349651707076321,False,T2,seed48
starbeast,0,0.0019260892294847773,0.001574020191808018,1.0033615794790762,185.6509337533713,0.95,0.00041967050126592013,0.002854809117260302,True,0.00029186988232988905,0.0026503293687780275,True,root,seed48
starbeast,0,0.002541179545199557,0.005059642197795726,0.9998827783325384,3078.0378774960413,0.95,0.00449285078024555,0.005694784361078028,False,0.00447591207196279,0.005669742808892892,False,T1,seed48
starbeast,0,0.0018052851491239593,0.003260626330420025,0.9999378988348124,2796.881132159162,0.95,0.0028805381079656197,0.003696040485526258,False,0.0028719833012868096,0.003678196573224722,False,T2,seed48
ecoevolity,0,0.0010013288893731204,0.004209967477043128,1.0044633793846771,577.5079002452001,0.95,0.0009061664533954863,0.009398783216102418,True,0.0007401387734411518,0.008912235762027805,True,root,seed188
ecoevolity,0,0.003306244483170898,0.009493144093010952,1.0024693343635245,767.4409932159958,0.95,0.0086426884584804,0.01005976300093418,False,0.008730932664408378,0.010110489961232507,False,T1,seed188
ecoevolity,0,0.0012735973619254193,0.0021109408862278077,1.0008747986813882,2778.5068577871943,0.95,0.001965643259896121,0.002263149791024613,False,0.0019650387095532687,0.0022612253938607586,False,T2,seed188
starbeast,0,0.0010013288893731204,0.001411724722519541,1.0152529044508802,212.41050209405944,0.95,0.0005947936469620993,0.002280259875576689,True,0.0005269390468493058,0.0021947043329916885,True,root,seed188
starbeast,0,0.003306244483170898,0.0087686051015919,1.0000699446211363,5833.785335561454,0.95,0.007800043138282429,0.009856708680348896,False,0.007766158116774173,0.009803864001196995,False,T1,seed188
starbeast,0,0.0012735973619254193,0.002097088931102259,1.0004055525907167,1864.229068417723,0.95,0.0018301286658378192,0.002400894780226293,False,0.0018083139711724046,0.0023714772784234712,False,T2,seed188
ecoevolity,0,0.0010437593922587528,0.002039320361672004,1.000596570094855,4000.0,0.95,0.0006692806698120643,0.004120558545338819,True,0.000522366471332744,0.0037494028947955243,True,root,seed194
ecoevolity,0,0.0013066904017826726,0.001863189746249656,0.9999465940220642,3925.125573861444,0.95,0.0017254654425108446,0.0020044039580888,False,0.001724102721063459,0.002000237352091628,False,T1,seed194
ecoevolity,0,0.002172484084255549,0.004218079897567978,1.0000338127291108,4000.0,0.95,0.0040065326292326574,0.004436795732082696,False,0.004006087117121333,0.004435163979040153,False,T2,seed194
starbeast,0,0.0010437593922587528,0.0013645508435249547,1.006921729593982,180.63158287534438,0.95,0.0004990996553273113,0.0026498369004429013,True,0.00042630898861422117,0.0024758623633095683,True,root,seed194
starbeast,0,0.0013066904017826726,0.0018509702970348997,1.0024900086402888,1628.6540760696814,0.95,0.0016136233012783027,0.0021210533702417152,False,0.0016020349257561313,0.0021012688986241893,False,T1,seed194
starbeast,0,0.002172484084255549,0.003819209292508202,1.0000610061682262,2959.159182726309,0.95,0.0033816077133477108,0.00431993291815449,False,0.0033770798589282023,0.004308880013664332,False,T2,seed194
ecoevolity,0,0.002008653265632202,0.008250810802350373,1.000084807367415,1737.3758429229695,0.95,0.007867493557944364,0.008638498340733958,False,0.007881232245525093,0.008645905908185723,False,root,seed193
ecoevolity,0,0.001564375905694895,0.001357829734783716,1.000529913409937,1037.286829073329,0.95,0.0010426134740666977,0.0016914820545162958,True,0.0010403839023220554,0.0016850286758257904,True,T1,seed193
ecoevolity,0,0.0027789756242176658,0.0029419165079054357,0.9998383882684292,1153.191245519532,0.95,0.002249754747685601,0.0036947885272014475,True,0.00224183790977755,0.0036761001080588564,True,T2,seed193
starbeast,0,0.002008653265632202,0.006234714120803981,1.000240876538108,1513.2132344352005,0.95,0.005593181206529945,0.006932720445641892,False,0.005584327072304295,0.006910974656631657,False,root,seed193
starbeast,0,0.001564375905694895,0.0020893985161610593,0.9998816279638948,1359.6938489552495,0.95,0.0017252199845941801,0.0025188070394048107,False,0.001702397230563396,0.002483225072470042,False,T1,seed193
starbeast,0,0.0027789756242176658,0.004229423300480817,1.0007235891819324,1735.7303925279584,0.95,0.003412183835706086,0.005197073757343299,False,0.0033458454949042145,0.0051232646406292074,False,T2,seed193
ecoevolity,0,0.0018552147344961746,0.0020173130234916988,1.0001509802531243,4000.0,0.95,0.0006678055331679136,0.004094839179055896,True,0.0004693147213047409,0.0037180131663272493,True,root,seed37
ecoevolity,0,0.0009287609668974869,0.001549771422803107,0.9997486076852862,4000.0,0.95,0.0014233187396879687,0.001678724253938159,False,0.001418257906590424,0.0016711244271110394,False,T1,seed37
