method,replicate,true,mean,red_fac,ess,interval,ci_lower,ci_upper,ci_covered,hpd_lower,hpd_upper,hpd_covered,seed
ecoevolity,0,0.012310541729152613,0.014817195462118682,1.0000047787492299,2520.540702691961,0.95,0.012591568173403771,0.016399488866863002,False,0.012875260451657584,0.01660437692073078,False,seed170
starbeast,0,0.012310541729152613,0.01597589546576047,1.0007148443473153,306.0872370479079,0.95,0.015159012012585762,0.016731758112670976,False,0.015152345156834031,0.01672147234524081,False,seed170
ecoevolity,0,0.028622430413951405,0.039379408787653766,0.999707692952843,3385.1374410228145,0.95,0.03713463123463771,0.04104016845961767,False,0.037272403664969415,0.04108700395686162,False,seed48
starbeast,0,0.028622430413951405,0.03976538093260133,1.0023673997453475,281.66430029330553,0.95,0.03833611031788614,0.04120802520382272,False,0.03837473275865992,0.041237689285927484,False,seed48
ecoevolity,0,0.01530796679762222,0.01767286936212035,1.0045813802676875,587.8700583354001,0.95,0.012652577360730256,0.021007021211503427,True,0.013110150004335836,0.02126379588325576,True,seed188
starbeast,0,0.01530796679762222,0.02025155017607561,1.0111263106871893,283.2674081418797,0.95,0.0192846746078167,0.02124612681122495,False,0.019300852637120936,0.021257224367306232,False,seed188
ecoevolity,0,0.0774857900053076,0.09503388599497777,1.0006607220720618,4000.0,0.95,0.0924872311801943,0.09734645081407337,False,0.0924829746529851,0.09729399363975544,False,seed194
starbeast,0,0.0774857900053076,0.09566638399923223,1.0033585476165214,534.6748632146341,0.95,0.09367036853843363,0.09758911061161993,False,0.0937225375202207,0.09760309524917517,False,seed194
ecoevolity,0,0.0012316008755467768,0.0007924849980423054,1.0001245979442828,1049.602778417903,0.95,0.0006059878022277634,0.0009896611922191481,False,0.0006082997397017481,0.0009899441763049058,False,seed193
starbeast,0,0.0012316008755467768,0.0011928774548152798,1.0004432291787109,484.2684218145956,0.95,0.0010305157269112008,0.0013673720929651715,True,0.0010188860065853172,0.0013535728551155627,True,seed193
ecoevolity,0,0.20591719453087534,0.25324574048825904,1.0000143475309813,4000.0,0.95,0.2487858357582663,0.2576451344867001,False,0.2488075872292272,0.2576451344867001,False,seed37
starbeast,0,0.20591719453087534,0.2532766758704097,1.005475886713164,822.5544785196779,0.95,0.2489672153337105,0.25749169602924193,False,0.2488041875751948,0.2572577903945891,False,seed37
ecoevolity,0,0.003190207086875113,0.0028410333597644485,0.9997547422288878,1914.7407128056686,0.95,0.0022601701179518377,0.0035022839692787603,True,0.002214639882695536,0.003438195655764665,True,seed35
starbeast,0,0.003190207086875113,0.004663790345262929,1.0018396571499135,877.7185571131872,0.95,0.0040447197436500465,0.005304672062664128,False,0.0040366434596936455,0.005286951964180453,False,seed35
ecoevolity,0,0.022972452187128657,0.030825305533614362,1.0000970174485753,3279.2994026698652,0.95,0.028617887189335858,0.0324316671318166,False,0.02892750021857605,0.032542338311921944,False,seed166
