ci_covered,ci_lower,ci_upper,ess,hpd_covered,hpd_lower,hpd_upper,interval,mean,method,red_fac,replicate,true,seed
True,0.003623834332264658,0.015121548549826972,2593.180065684629,True,0.003142955742176579,0.014299108898900938,0.95,0.00849454489564313,ecoevolity,0.9999814912487841,0,0.0043835739315530725,seed1234
False,0.04051683361207045,0.17251717725821875,4000.0,True,0.03341887389185255,0.1581259367158795,0.95,0.09098907589497096,ecoevolity,0.9998937687604456,1,0.03544497654951094,seed1234
True,0.03542865824891935,0.1608223299219302,4000.0,True,0.031066406768354506,0.14987847141764152,0.95,0.08434379929292843,ecoevolity,0.9997685220782512,2,0.10822624972172563,seed1234
True,0.006414876792274899,0.028064408458268263,2194.4409489617674,True,0.005269508742918599,0.02639064693893033,0.95,0.015730723297272337,ecoevolity,0.9999940668369648,3,0.014490861402101415,seed1234
True,0.025787305298199212,0.10992574192878103,3911.772414237498,True,0.022753418810546683,0.10259181250501276,0.95,0.059253360610349574,ecoevolity,1.0003543747599175,4,0.06511957501726992,seed1234
True,0.02279089163618596,0.08773011043364745,3556.7596696711066,True,0.02091044732648132,0.08154825162971223,0.95,0.04865166590856796,ecoevolity,0.999797899654386,5,0.03848683679164541,seed1234
True,0.023761025375829914,0.10463165362435156,2855.5190318550603,True,0.02040029338646125,0.09541050808937727,0.95,0.055334075613817535,ecoevolity,1.0000893232620205,6,0.03535265134595888,seed1234
True,0.040396962749902635,0.20243665691850413,4000.0,True,0.031037780654432023,0.18345716906267745,0.95,0.1009944963917625,ecoevolity,1.0004232997752305,7,0.07804966872344306,seed1234
True,0.022962535886037187,0.1003031723323554,2901.973040380958,True,0.020867579987596425,0.09463999675163,0.95,0.05405203276098038,ecoevolity,0.9996909430783608,8,0.04028234151464384,seed1234
True,0.01820306768866456,0.07707529568661056,4000.0,True,0.01600947213939305,0.07245211354310221,0.95,0.04180330437962288,ecoevolity,0.9996765993437192,9,0.0353280450365036,seed1234
True,0.026726826681479125,0.11222896440739423,4000.0,True,0.024173700418253702,0.10424322120872563,0.95,0.059558739200215566,ecoevolity,0.9997334591944244,10,0.04015740351672345,seed1234
True,0.004600821453121486,0.020324471618789683,2820.7447950716137,True,0.0037585688454446647,0.019133333293733203,0.95,0.011161520866890741,ecoevolity,0.9996648952254066,11,0.014724288700888754,seed1234
True,0.005587354043251551,0.0237440483540744,3221.8409609038304,True,0.0047555721152154045,0.022363796719663088,0.95,0.013088091697697236,ecoevolity,0.999718293086168,12,0.017304496999608742,seed1234
True,0.0034538081403771553,0.014792054571030756,2467.2795364782573,True,0.003044511438414396,0.0138810820038369,0.95,0.00808169760680168,ecoevolity,1.0030686412234282,13,0.0042038653993983965,seed1234
True,0.00700671832844558,0.0277376318864525,4000.0,True,0.006245476446170889,0.026466697595879985,0.95,0.015732694679055137,ecoevolity,0.9999874636219168,14,0.012657734913255794,seed1234
True,0.004940091467563049,0.02165541506800083,2811.7261793732728,True,0.0040521450177211015,0.020203452025563357,0.95,0.011764259535215258,ecoevolity,1.0004992033194782,15,0.007103764958748393,seed1234
True,0.035385272125742204,0.16707243001002095,3002.335666623966,True,0.029730989321090088,0.15212006427845198,0.95,0.08495246930277989,ecoevolity,0.9998969143381298,16,0.0701093156011059,seed1234
True,0.005015687878176463,0.02358987639121108,3013.5622733197947,True,0.004179889448753996,0.021990546044377158,0.95,0.012659228007875023,ecoevolity,0.9999759860467226,17,0.012512975091822885,seed1234
True,0.01561007101329038,0.06514056661255849,4000.0,True,0.014468093444962091,0.0618694293183277,0.95,0.03558137251232128,ecoevolity,1.000787577524986,18,0.028504290315797882,seed1234
True,0.0033519625951994327,0.01490405013015345,2270.563269706508,True,0.0028690606743061084,0.014148762418546562,0.95,0.008278083757242111,ecoevolity,1.0024275156315758,19,0.007514240828044721,seed1234
True,0.002457376119519016,0.009805626983769631,2965.043366382929,True,0.002174972213164356,0.009256495119628264,0.95,0.005450386000870856,ecoevolity,1.0011257593650056,20,0.0055054649563899116,seed1234
True,0.045950448260696594,0.2119344188839024,4000.0,True,0.039812319158681074,0.19534084878247568,0.95,0.10803790373949253,ecoevolity,0.9996459998529069,21,0.09190495912756554,seed1234
True,0.00012759919638073635,0.0004890169171838392,3486.5748545845922,True,0.00011206689718463376,0.00046254346654622363,0.95,0.00027534527829465704,ecoevolity,0.9995611065567598,22,0.0001327127973162854,seed1234
True,0.006921140155326996,0.030486804604288983,3336.4359164123143,True,0.005947531875331224,0.028308399478948063,0.95,0.01667207805981153,ecoevolity,1.0007728148950827,23,0.022639359518864286,seed1234
True,0.02531063442527524,0.11125918017011302,3873.488826225877,True,0.022820792459020512,0.10304942551579624,0.95,0.05892721385218084,ecoevolity,1.0000464237356037,24,0.043389267538289006,seed1234
True,0.023128615039606847,0.10031267895284963,3900.6499444907,True,0.019629686758429903,0.0928133196253896,0.95,0.05367118118969319,ecoevolity,0.9995331879099716,25,0.04116572068234532,seed1234
True,0.044198124626774936,0.2048848404764405,4000.0,True,0.037292751516129416,0.18706632537023368,0.95,0.10410118851223983,ecoevolity,1.0003221624472314,26,0.12491335637855285,seed1234
True,0.00125857692771525,0.004107578582507751,2161.853050324415,True,0.0011670522873013164,0.0038633408972419494,0.95,0.002403241516454092,ecoevolity,1.0006151521246658,27,0.0029524461138991506,seed1234
True,0.04973755531360094,0.2277490493086507,3037.631015776468,True,0.037696174145215776,0.20864732044323828,0.95,0.11867425041401596,ecoevolity,1.000659517032438,28,0.18288359176406854,seed1234
True,0.022560332535724453,0.09756906114836172,4000.0,True,0.019295855038207327,0.09159193188417616,0.95,0.052320677873265116,ecoevolity,1.0003074279486708,29,0.034643973199177065,seed1234
True,0.019326463559925927,0.08340086647801481,3813.162275712865,True,0.017308929553853502,0.07853891300489987,0.95,0.04488298098078217,ecoevolity,1.000001367956126,30,0.025167946810128995,seed1234
True,0.0018830780464060288,0.007420322573595953,2285.0070731074475,True,0.0016253019887450075,0.006843733306067293,0.95,0.004048740885401312,ecoevolity,1.001021015527698,31,0.003812493402844049,seed1234
True,0.0121801797666668,0.047186418609743146,2872.537292206381,True,0.009720670385945264,0.04350398480536142,0.95,0.02645364215163998,ecoevolity,0.9998747920558609,32,0.03136685173879678,seed1234
True,0.03966771410111628,0.1849843407371465,3867.857162147378,True,0.03363405148040108,0.1723560515303063,0.95,0.09522937886859899,ecoevolity,1.0005436761929096,33,0.11032324845046823,seed1234
True,0.02384696141658353,0.10274229494626193,4000.0,True,0.02045848404416957,0.09602215024160816,0.95,0.055189705145918894,ecoevolity,1.0005454349139429,34,0.0474720089510836,seed1234
True,0.037545319725073856,0.17599328899765448,3612.771250708386,True,0.031800261388071564,0.15897454434723754,0.95,0.09037455591302147,ecoevolity,0.9996982318796316,35,0.06403517820032448,seed1234
True,0.01126637771005736,0.045504934054254674,4000.0,True,0.01037722836457947,0.04388266075440731,0.95,0.02562394582254807,ecoevolity,1.0001004379639074,36,0.031582717803952484,seed1234
True,0.007877550810499937,0.0339697768297639,2963.0040775652105,True,0.007373043226250467,0.032922599373597435,0.95,0.018816623494188604,ecoevolity,1.001236237696803,37,0.01709942308315946,seed1234
True,0.008047865919775181,0.034451687957810034,3466.0656292436256,True,0.007256266149587183,0.032879829091860775,0.95,0.01934005790102742,ecoevolity,1.0004566557255012,38,0.015459163923207541,seed1234
True,0.0016456699784824752,0.005964824606390392,2693.635511829907,True,0.0014746285012308164,0.005538439584497536,0.95,0.003302227411960809,ecoevolity,1.0002794034033438,39,0.004203655641384889,seed1234
True,0.00512945529181269,0.02271960668019399,1982.491315808743,True,0.00490747804592474,0.02224870216841808,0.95,0.012956702794498778,ecoevolity,1.002255694924992,40,0.014612865408491544,seed1234
True,0.0049423584743025824,0.022472072297827973,2274.041789994115,True,0.0043712991760343455,0.02127599246007648,0.95,0.012278406988380362,ecoevolity,1.0002148344653892,41,0.009226900814146096,seed1234
True,0.02210999258626408,0.0939640258697223,3589.4657781163105,True,0.01897779151190053,0.08805033521422076,0.95,0.050996245922977336,ecoevolity,0.9996418385671824,42,0.039278707170250254,seed1234
True,0.02866986058143762,0.1291530336951219,3894.670851746685,True,0.02245272197850817,0.1184543743238947,0.95,0.06875423122889887,ecoevolity,0.9997882896142312,43,0.05473578946986436,seed1234
True,0.004169798667458163,0.019026912018846903,4000.0,True,0.0037291735755291306,0.018211364787779842,0.95,0.010414531277657338,ecoevolity,0.9995327066634608,44,0.011111144508570954,seed1234
True,0.019592416835419776,0.08221681645367697,3219.086143255236,True,0.017975785643214046,0.07677927860125976,0.95,0.0442001612312378,ecoevolity,0.9997807065287116,45,0.031913391282177336,seed1234
True,0.004376386329401107,0.017449227042690186,2559.622360341377,True,0.0036973487434984968,0.01619773237804529,0.95,0.009776946604996128,ecoevolity,1.001268980116661,46,0.013832198031665329,seed1234
True,0.0005164853216814054,0.0016285470660697072,2517.994336763877,True,0.00046088338317897725,0.0015198459766730815,0.95,0.0009693485135412331,ecoevolity,0.9999042170483694,47,0.0008557641070815016,seed1234
True,0.032529555211698015,0.1500847865101622,3598.3907950819957,True,0.028046416644441158,0.13590275883248146,0.95,0.07674186657353843,ecoevolity,1.0000525434876093,48,0.05853072618037999,seed1234
True,0.01563866475351389,0.06321286621781018,4000.0,True,0.012618729977341477,0.057782113737665876,0.95,0.034954100938831716,ecoevolity,0.999521178728628,49,0.0218506309087708,seed1234
True,0.025678931061672242,0.1120354896016999,2924.853380729025,True,0.023462827313491086,0.10574343205661793,0.95,0.059635562707760124,ecoevolity,1.0002902580000457,50,0.07278082855624117,seed1234
False,3.9962874242558366e-05,0.00027787211557280726,4000.0,False,2.8293410589481317e-05,0.00025231712381641914,0.95,0.00013413500094533988,ecoevolity,0.9999798461974608,51,1.4987670023528005e-05,seed1234
True,0.020500407929898528,0.08345378849905641,3943.627355475229,True,0.017426264407100225,0.07793250699130645,0.95,0.0459476866867452,ecoevolity,0.999824122335654,52,0.04391499738449129,seed1234
False,0.004807536062210036,0.02198457831864064,2931.136537686781,True,0.0040175708691121605,0.020605476730489555,0.95,0.011736953129753513,ecoevolity,1.0004438519878605,53,0.004452822460705033,seed1234
True,0.005488897181604693,0.024584807476906608,3133.5666635949874,True,0.00492511383889644,0.023398119709588525,0.95,0.013641195374393495,ecoevolity,1.0001605986145343,54,0.015518661300711662,seed1234
True,0.03999517872448937,0.17850659772660332,4000.0,True,0.03325780581832568,0.1614330076875994,0.95,0.09069338637550994,ecoevolity,1.0002747766705309,55,0.044748875450277385,seed1234
True,0.004292881893768026,0.01997925799901296,2520.489229031913,True,0.003575483880195785,0.018587947218826287,0.95,0.010771563051836422,ecoevolity,0.9996308374889378,56,0.010654976377753048,seed1234
True,0.024198053207549957,0.10512236185059044,3955.210595445116,True,0.020369768030279168,0.09546395540037944,0.95,0.05457866840124611,ecoevolity,1.000094787322005,57,0.03838133475097519,seed1234
True,0.022208883991386204,0.09395858903724827,3727.3340418818516,True,0.020941822596237662,0.09001918094545726,0.95,0.05091737707756573,ecoevolity,1.0000198319741291,58,0.04400840207325885,seed1234
True,0.013868739361619172,0.057866321565234885,3377.315367224629,True,0.012782110549721028,0.05553001498585609,0.95,0.03161235660181945,ecoevolity,1.0004650471308023,59,0.029580206034567087,seed1234
True,0.006576874225631661,0.027292738569129896,2836.0958406936884,True,0.0058919743535979716,0.02615749961079212,0.95,0.015435851343490037,ecoevolity,0.9998932722818312,60,0.013354554920441714,seed1234
True,0.008902102009179198,0.04005065157499476,4000.0,True,0.008245045094646814,0.038287916491865054,0.95,0.022193432714916125,ecoevolity,0.9997614718975236,61,0.01356097035072066,seed1234
True,0.07298966459216549,0.33897381666324794,4000.0,True,0.0584935917499155,0.3128739605085529,0.95,0.17517701619847742,ecoevolity,0.9999004012960704,62,0.13516724168328828,seed1234
True,0.050897245994780134,0.23751950547228776,4000.0,True,0.04492839492910969,0.2239407537958279,0.95,0.12293402386013008,ecoevolity,0.9996772003846912,63,0.07858738113737006,seed1234
True,0.026711531993948847,0.11859408413325875,3595.2553908924883,True,0.02242582142615316,0.10772859363740657,0.95,0.06242190157969538,ecoevolity,0.999884849945682,64,0.04232600409589043,seed1234
True,0.0581500307457364,0.26809193051514424,3055.5929929820118,True,0.04839252612657696,0.24632109455315984,0.95,0.1375561015973145,ecoevolity,0.999852339672404,65,0.09019807488903878,seed1234
True,0.01766011401034833,0.06902762597241943,4000.0,True,0.015291060466589663,0.06438606003274623,0.95,0.038290507150950136,ecoevolity,0.999681383941364,66,0.027615584023393987,seed1234
True,0.00034404153740731804,0.0010836307037138592,4000.0,True,0.0003071356808413793,0.0010236589611235147,0.95,0.0006516406145744412,ecoevolity,1.0007811708258494,67,0.0004425973178789547,seed1234
True,0.04755139357020592,0.22720637821887635,3268.5631471446977,True,0.0420050509536716,0.21007086152111407,0.95,0.11400475403769958,ecoevolity,0.9997806330607684,68,0.07618857926705752,seed1234
True,0.024862628554046896,0.11019664344351704,3856.084454106834,True,0.020778934604540226,0.10036898169254152,0.95,0.057862647442904036,ecoevolity,1.0003477418009443,69,0.054087253743893136,seed1234
True,0.00029566824475503115,0.0009306606183418633,2653.2365548447,True,0.0002731699346218921,0.0008896831386452039,0.95,0.0005545963299436431,ecoevolity,1.0010595472470762,70,0.0005094968206430785,seed1234
True,0.026314596461456514,0.11338381017179446,4000.0,True,0.02117183310565204,0.10300169885141933,0.95,0.05909509958025747,ecoevolity,1.0001704034089978,71,0.03522093630212165,seed1234
