id,at1-clust1,at1-clust2,at2-clust1,at2-clust2,ag-clust1,ag-clust2,ag-clust3
kac74_terrestris,0,1,0.999,0.001,0.99595,0.0022,0.00175
aht5278_terrestris,5.00E-05,0.99995,0.99805,0.00195,0.999,0.00015,0.0009
kac183_terrestris,5.00E-05,0.99995,0.99885,0.00115,0.99335,0.00315,0.00345
aht5277_terrestris,0.00045,0.99955,0.999,0.001,0.999,0.00015,0.00075
kac16_terrestris,0.00055,0.99945,1,0,0.9989,5.00E-05,0.001
aht3428_terrestris,0.0006,0.9994,0.99975,0.00025,0.999,0.00025,5.00E-05
kac201808181_terrestris,0.0007,0.9993,1,0,0.999,5.00E-05,0.001
kac201808183_terrestris,0.00075,0.99925,1,0,0.999,0,0.0001
kac146_terrestris,0.00085,0.99915,0.9993,0.0007,0.9947,0.00465,0.001
kac163_terrestris,0.0009,0.9991,0.9989,0.0011,0.99705,0.00235,0.001
kac201808184_terrestris,0.0009,0.9991,1,0,0.999,0,0.0002
kac238_terrestris,0.0009,0.9991,0.99945,0.00055,0.999,0.00075,0.001
aht2564_terrestris,0.001,0.999,0.99795,0.00205,0.99015,0.00915,0.001
aht3833_terrestris,0.001,0.999,1,0,0.999,0.00015,0.001
kac140_terrestris,0.001,0.999,0.999,0.001,0.99705,0.001,0.0019
kac184_terrestris,0.001,0.999,0.99895,0.00105,0.9868,0.01185,0.0013
kac185_terrestris,0.001,0.999,0.9992,0.0008,0.99595,0.0022,0.00175
kac194_terrestris,0.001,0.999,0.98205,0.01795,0.9965,0.0022,0.00115
kac233_terrestris,0.001,0.999,0.999,0.001,0.999,0.00015,0.00075
kac236_terrestris,0.001,0.999,0.99995,5.00E-05,0.999,0.00035,0.001
kac237_terrestris,0.001,0.999,0.9994,0.0006,0.99895,0.0001,0.001
kac239_terrestris,0.001,0.999,0.99625,0.00375,0.9985,0.001,0.001
t1030_terrestris,0.001,0.999,1,0,0.96355,0.0358,0.001
kac160_terrestris,0.00105,0.99895,1,0,0.99365,0.0025,0.0038
