"","Cluster1","Cluster2"
"aht1975_americanus",0.02385,0.97615
"aht2456_terrestris",0.86425,0.13575
"aht2564_terrestris",0.99795,0.00205
"aht2885_terrestris",0.99795,0.00205
"aht3419_terrestris",0.7914,0.2086
"aht3421_terrestris",0.8763,0.1237
"aht3428_terrestris",0.99975,0.00025
"aht3459_americanus",0.00285,0.99715
"aht3460_americanus",3e-04,0.9997
"aht3461_americanus",0.0133,0.9867
"aht3462_americanus",0,1
"aht3463_americanus",3e-04,0.9997
"aht3833_terrestris",1,0
"aht3997_terrestris",0.91125,0.08875
"aht3998_terrestris",0.86285,0.13715
"aht4373_americanus",0.00915,0.99085
"aht5277_terrestris",0.999,0.001
"aht5278_terrestris",0.99805,0.00195
"hera10233_americanus",0,1
"hera10239_americanus",0.001,0.999
"hera10248_americanus",0.000950000000000001,0.99905
"hera10255_americanus",0.001,0.999
"hera10350_americanus",5e-04,0.9995
"hera10372_americanus",0.001,0.999
"hera15787_americanus",0.001,0.999
"inhs17016_americanus",0.0168,0.9832
"inhs21799_americanus",0.002,0.998
"kac100_terrestris",0.99555,0.00445
"kac101_americanus",0.001,0.999
"kac102_terrestris",0.998,0.002
"kac103_terrestris",0.9221,0.0779
"kac104_terrestris",0.96235,0.03765
"kac105_americanus",0,1
"kac106_americanus",0,1
"kac107_americanus",0,1
"kac108_terrestris",0.86145,0.13855
"kac110_americanus",0,1
"kac111_americanus",0.4424,0.5576
"kac112_terrestris",0.95235,0.04765
"kac116_americanus",0,1
"kac121_terrestris",0.98515,0.01485
"kac123_terrestris",0.98185,0.01815
"kac124_terrestris",0.9702,0.0298
"kac126_terrestris",0.9936,0.0064
"kac133_terrestris",0.9776,0.0224
"kac134_terrestris",0.99795,0.00205
"kac135_terrestris",0.9989,0.0011
"kac136_terrestris",0.94975,0.05025
"kac138_americanus",0.40405,0.59595
"kac139_americanus",8e-04,0.9992
"kac140_terrestris",0.999,0.001
"kac141_terrestris",0.999,0.001
"kac142_terrestris",0.993,0.007
"kac143_terrestris",0.99905,0.000950000000000001
"kac144_terrestris",0.9991,9e-04
"kac145_terrestris",0.999,0.001
"kac146_terrestris",0.9993,7e-04
"kac147_terrestris",0.9588,0.0412
"kac148_terrestris",0.9991,9e-04
"kac149_terrestris",0.9859,0.0141
"kac150_terrestris",0.99795,0.00205
"kac151_terrestris",0.98405,0.01595
"kac153_terrestris",0.96725,0.03275
"kac154_terrestris",0.9986,0.0014
"kac155_terrestris",0.96605,0.03395
"kac156_terrestris",0.99955,0.00045
"kac158_terrestris",0.998,0.002
"kac159_terrestris",0.999,0.001
"kac16_terrestris",1,0
"kac160_terrestris",1,0
"kac161_terrestris",0.98085,0.01915
"kac162_terrestris",0.999,0.001
"kac163_terrestris",0.9989,0.0011
"kac164_terrestris",0.99905,0.000950000000000001
"kac167_terrestris",0.9895,0.0105
"kac172_americanus",0.1312,0.8688
"kac173_americanus",0.12055,0.87945
"kac176_americanus",0.0437,0.9563
"kac177_americanus",0.15315,0.84685
"kac181_terrestris",0.9979,0.0021
"kac182_terrestris",0.999,0.001
