"","Cluster1","Cluster2","Cluster3"
"aht1975_americanus",0.00915,0.9701,0.0207
"aht2456_terrestris",0.0298,0.1725,0.7978
"aht2564_terrestris",0.000950000000000001,0.00085,0.999
"aht2885_terrestris",0.0025,0.00135,0.996
"aht3413_fowleri",0.31815,0.12015,0.5618
"aht3419_terrestris",0.0861,0.1983,0.71565
"aht3421_terrestris",0.004,0.0995,0.89655
"aht3428_terrestris",0.001,0.001,0.99805
"aht3459_americanus",0.00845,0.9893,0.0023
"aht3460_americanus",0.000950000000000001,0.99885,0.001
"aht3461_americanus",0.00105,0.997,0.0019
"aht3462_americanus",0.001,0.998,0.0011
"aht3463_americanus",0.000950000000000001,0.998,0.00125
"aht3658_fowleri",0.999,0.00055,7e-04
"aht3665_fowleri",0.999,0.00055,0.000950000000000001
"aht3833_terrestris",0.001,0.001,0.99805
"aht3997_terrestris",0.07385,0.13035,0.7958
"aht3998_terrestris",0.15935,0.1084,0.73245
"aht4373_americanus",0.086,0.9131,0.001
"aht5277_terrestris",0.001,0.0011,0.99805
"aht5278_terrestris",0.001,0.0019,0.99735
"hera10025_fowleri",0.9969,0.002,0.0012
"hera10233_americanus",0.00085,0.999,0.001
"hera10239_americanus",0.001,0.9983,9e-04
"hera10248_americanus",0.001,0.9983,0.001
"hera10255_americanus",0.0024,0.9955,0.00205
"hera10350_americanus",0.00085,0.999,0.001
"hera10372_americanus",0.001,0.99805,0.001
"hera10396_fowleri",0.99675,0.0027,8e-04
"hera10493_fowleri",0.9967,0.00235,0.001
"hera11976_americanus",0.00145,0.994,0.0047
"hera15787_americanus",0.0097,0.9895,0.001
"hera20415_woodhousii",0.8711,0.02435,0.1045
"hera20514_fowleri",0.999,0.00055,0.001
"inhs16273_americanus",0.0041,0.99195,0.00395
"inhs17016_americanus",0.0054,0.99365,0.001
"inhs21799_americanus",0.001,0.998,0.001
"kac100_terrestris",0.0022,0.001,0.99675
"kac101_americanus",0.000950000000000001,0.9961,0.0032
"kac102_terrestris",0.07195,0.0031,0.9249
"kac103_terrestris",0.1255,0.04205,0.83235
"kac104_terrestris",0.0512,0.0141,0.93455
"kac105_americanus",0.000950000000000001,0.99865,0.001
"kac106_americanus",0.0031,0.996,0.001
"kac107_americanus",0.00085,0.99895,0.001
"kac108_terrestris",0.00495,0.05355,0.94175
"kac110_americanus",0.001,0.9986,0.001
"kac111_americanus",0.0077,0.53075,0.4615
"kac112_terrestris",0.001,0.01385,0.98505
"kac113_americanus",0.00255,0.9238,0.0736
"kac116_americanus",0.001,0.998,0.001
"kac121_terrestris",0.001,0.0471,0.9519
"kac123_terrestris",0.0518,0.02,0.9281
"kac124_terrestris",0.0752,0.00145,0.9233
"kac125_terrestris",0.0015,0.0022,0.99655
"kac126_terrestris",0.0678,0.0016,0.93065
"kac132_terrestris",0.084,0.1714,0.74445
"kac133_terrestris",0.00245,0.04935,0.94815
"kac134_terrestris",0.0013,0.0112,0.98735
"kac135_terrestris",0.001,0.0091,0.9899
"kac136_terrestris",0.0015,0.00345,0.99495
"kac137_fowleri",0.9981,0.000950000000000001,0.001
"kac138_americanus",0.55555,0.4425,0.00195
"kac139_americanus",0.0022,0.9963,0.00125
"kac140_terrestris",0.00145,0.00105,0.99735
"kac141_terrestris",0.12915,0.0018,0.8692
"kac142_terrestris",0.1948,0.0018,0.80365
"kac143_terrestris",0.06265,0.0012,0.9359
"kac144_terrestris",0.0169,0.001,0.98225
"kac145_terrestris",0.1079,0.001,0.8912
"kac146_terrestris",0.01705,0.00255,0.9804
"kac147_terrestris",0.0518,0.1195,0.8287
"kac148_terrestris",0.00215,0.00125,0.9964
"kac149_terrestris",0.001,0.00395,0.9951
"kac150_terrestris",0.001,0.00165,0.9976
"kac151_terrestris",0.0662,0.01235,0.92155
"kac152_terrestris",0.01755,0.00445,0.97795
"kac153_terrestris",0.11445,0.0028,0.88265
"kac154_terrestris",0.0019,0.00105,0.997
"kac155_terrestris",0.00405,0.0506,0.94525
"kac156_terrestris",0.07195,0.00115,0.92675
"kac157_fowleri",0.96015,0.001,0.03875
"kac158_terrestris",0.10975,0.00205,0.88815
"kac159_terrestris",0.00255,0.0018,0.9957
"kac16_terrestris",0.001,0.00115,0.99775
