id,species,year,country,state,county,specific-locality,latitude,longitude
MSB 100793,Anaxyrus microscaphus,2020,United States,Nevada,Lincoln County,"Meadow Valley Wash at Nevada State Route 317, approximately 6.5 mi SE of Elgin, NV",37.27153801,-114.464781
MSB 100800,Anaxyrus woodhousii ?,2020,United States,Nevada,Clark County,"Virgin River in vicinity of Riverside, NV, approximately 7.5 mi SW of Mesquite, NV",36.73611667,-114.2197167
MSB 100913,Anaxyrus microscaphus,2020,United States,New Mexico,Catron County,on Fs 225 approx. 1.204 km E of junction with Fs 18,33.280379,-108.088683
MSB 104414,Anaxyrus fowleri,2010,United States,Florida,Leon County,The Blairstone at Governor's Square,30.43817,-84.24607
MSB 104548,Anaxyrus woodhousii,2021,United States,New Mexico,Union County,Alive on Lake Rd (NM-370),36.49094,-103.20838
MSB 104570,Anaxyrus fowleri / Anaxyrus woodhousii intergrade,2021,United States,Oklahoma,Choctaw County,Alive on N4300 Rd,34.00087,-95.38229
MSB 104571,Anaxyrus americanus,2021,United States,Oklahoma,Choctaw County,Calling from tiny puddle above lake and boat ramp,34.00917,-95.38058
MSB 104608,Anaxyrus americanus,2021,United States,Oklahoma,McCurtain County,Alive on N4620,34.00367,-94.8267
MSB 104644,Anaxyrus americanus,2021,United States,Missouri,Newton County,Alive on Rd 21N,36.95124,-94.27782
MSB 104677,Anaxyrus cognatus,2021,United States,North Dakota,Richland County,Alive on 70th St SE,46.39834,-97.20927
MSB 104681,Anaxyrus hemiophrys,2021,United States,North Dakota,Richland County,Dead on 65th St SE,46.47076,-97.04604
MSB 104731,Anaxyrus woodhousii,2021,United States,Nebraska,Cherry County,Alive on NE-16B Spur,42.61091,-100.65607
MSB 39651,Anaxyrus kelloggi,1977,Mexico,Sonora,,5 kilometers South of Ortiz,28.239332,-110.705533
MSB 75646,Anaxyrus speciosus,2009,United States,New Mexico,Chaves County,E of Roswell on the N side of highway on National Guard training compound; N of Bottomless lakes camping area,33.36365042,-104.3428216
MSB 92689,Anaxyrus baxteri,2002,United States,Wyoming,Albany County,Mortenson Lake National Wildlife Refuge,41.211821,-105.8255766
MSB 92690,Anaxyrus baxteri,2002,United States,Wyoming,Albany County,Mortenson Lake National Wildlife Refuge,41.211821,-105.8255766
MSB 92691,Anaxyrus baxteri,2002,United States,Wyoming,Albany County,Mortenson Lake National Wildlife Refuge,41.211821,-105.8255766
MSB 92692,Anaxyrus baxteri,2002,United States,Wyoming,Albany County,Mortenson Lake National Wildlife Refuge,41.211821,-105.8255766
